FileName,EmoClass
MSP-PODCAST_0002_0033.wav,N
MSP-PODCAST_0002_0039.wav,N
MSP-PODCAST_0002_0049.wav,H
MSP-PODCAST_0002_0051.wav,N
MSP-PODCAST_0002_0059.wav,X
MSP-PODCAST_0002_0061.wav,F
MSP-PODCAST_0002_0075.wav,X
MSP-PODCAST_0002_0124.wav,X
MSP-PODCAST_0004_0001.wav,X
MSP-PODCAST_0004_0029.wav,X
MSP-PODCAST_0004_0036.wav,X
MSP-PODCAST_0004_0065.wav,X
MSP-PODCAST_0004_0073.wav,X
MSP-PODCAST_0004_0076.wav,D
MSP-PODCAST_0004_0091.wav,U
MSP-PODCAST_0004_0104.wav,X
MSP-PODCAST_0004_0114.wav,D
MSP-PODCAST_0005_0005.wav,C
MSP-PODCAST_0005_0042.wav,C
MSP-PODCAST_0005_0055.wav,X
MSP-PODCAST_0005_0058.wav,H
MSP-PODCAST_0005_0065.wav,A
MSP-PODCAST_0005_0066.wav,X
MSP-PODCAST_0005_0083.wav,X
MSP-PODCAST_0005_0101.wav,C
MSP-PODCAST_0005_0131.wav,N
MSP-PODCAST_0005_0154.wav,D
MSP-PODCAST_0005_0182.wav,D
MSP-PODCAST_0005_0183.wav,D
MSP-PODCAST_0005_0185.wav,A
MSP-PODCAST_0005_0187.wav,X
MSP-PODCAST_0006_0017.wav,N
MSP-PODCAST_0006_0020.wav,H
MSP-PODCAST_0006_0029.wav,D
MSP-PODCAST_0006_0039.wav,X
MSP-PODCAST_0006_0085.wav,H
MSP-PODCAST_0006_0089.wav,X
MSP-PODCAST_0006_0121.wav,N
MSP-PODCAST_0006_0179.wav,D
MSP-PODCAST_0006_0207.wav,X
MSP-PODCAST_0006_0227.wav,N
MSP-PODCAST_0006_0253.wav,N
MSP-PODCAST_0006_0258.wav,H
MSP-PODCAST_0008_0013.wav,X
MSP-PODCAST_0008_0133.wav,N
MSP-PODCAST_0008_0154.wav,D
MSP-PODCAST_0008_0156.wav,N
MSP-PODCAST_0008_0181.wav,C
MSP-PODCAST_0008_0199.wav,X
MSP-PODCAST_0008_0204.wav,N
MSP-PODCAST_0008_0207.wav,H
MSP-PODCAST_0011_0006.wav,X
MSP-PODCAST_0011_0009.wav,H
MSP-PODCAST_0011_0030.wav,D
MSP-PODCAST_0011_0055.wav,H
MSP-PODCAST_0011_0060.wav,N
MSP-PODCAST_0011_0084.wav,X
MSP-PODCAST_0011_0119.wav,X
MSP-PODCAST_0011_0132.wav,C
MSP-PODCAST_0011_0156.wav,N
MSP-PODCAST_0011_0161.wav,X
MSP-PODCAST_0011_0191.wav,N
MSP-PODCAST_0011_0200.wav,N
MSP-PODCAST_0011_0207.wav,A
MSP-PODCAST_0011_0230.wav,N
MSP-PODCAST_0011_0370.wav,H
MSP-PODCAST_0011_0378.wav,X
MSP-PODCAST_0011_0384.wav,N
MSP-PODCAST_0011_0396.wav,N
MSP-PODCAST_0011_0429.wav,A
MSP-PODCAST_0011_0475.wav,N
MSP-PODCAST_0011_0507.wav,U
MSP-PODCAST_0014_0039.wav,S
MSP-PODCAST_0014_0089.wav,X
MSP-PODCAST_0014_0122.wav,N
MSP-PODCAST_0014_0123.wav,N
MSP-PODCAST_0014_0125.wav,X
MSP-PODCAST_0014_0130.wav,D
MSP-PODCAST_0014_0134.wav,H
MSP-PODCAST_0014_0201.wav,H
MSP-PODCAST_0014_0252.wav,N
MSP-PODCAST_0014_0342.wav,S
MSP-PODCAST_0014_0349.wav,U
MSP-PODCAST_0014_0357.wav,X
MSP-PODCAST_0014_0359.wav,C
MSP-PODCAST_0014_0361.wav,N
MSP-PODCAST_0014_0367.wav,N
MSP-PODCAST_0014_0380.wav,N
MSP-PODCAST_0014_0381.wav,C
MSP-PODCAST_0014_0385.wav,A
MSP-PODCAST_0014_0411.wav,N
MSP-PODCAST_0014_0413.wav,N
MSP-PODCAST_0014_0425.wav,N
MSP-PODCAST_0014_0428.wav,N
MSP-PODCAST_0014_0429.wav,N
MSP-PODCAST_0014_0434.wav,N
MSP-PODCAST_0014_0438.wav,O
MSP-PODCAST_0014_0467.wav,N
MSP-PODCAST_0014_0526.wav,N
MSP-PODCAST_0016_0411.wav,C
MSP-PODCAST_0019_0071.wav,N
MSP-PODCAST_0019_0217.wav,C
MSP-PODCAST_0019_0231.wav,C
MSP-PODCAST_0019_0269.wav,X
MSP-PODCAST_0019_0318.wav,C
MSP-PODCAST_0019_0326.wav,X
MSP-PODCAST_0019_0328.wav,A
MSP-PODCAST_0019_0338.wav,A
MSP-PODCAST_0023_0001.wav,H
MSP-PODCAST_0023_0004.wav,N
MSP-PODCAST_0023_0005.wav,N
MSP-PODCAST_0023_0006.wav,H
MSP-PODCAST_0023_0012.wav,N
MSP-PODCAST_0023_0013.wav,N
MSP-PODCAST_0023_0017.wav,U
MSP-PODCAST_0023_0018.wav,H
MSP-PODCAST_0023_0021.wav,H
MSP-PODCAST_0023_0036.wav,N
MSP-PODCAST_0023_0044.wav,N
MSP-PODCAST_0023_0048.wav,N
